nombre,cantidad,unidad_medida,stock_minimo
MANGUERA 3/8 R2 X 2750MM HG X HG 3/4 JIC,1000,unidad,1
CODO 90 JIC X NPT 3/4 X 1/2,1000,unidad,1
MANGUERA 3/4 R1 X 1500MM HG X HG 1.1/16 JIC,1000,unidad,1
CODO 90 JIC X NPT 1.1/16X 1/2,1000,unidad,1
"MANGUERA 3/4 R1 X 1850MM HG 1,1/16 JIC X HG 1.1/16 JIC",1000,unidad,1
MANGUERA 1/2 R1 X 300MM HG X HG 7/8 JIC,1000,unidad,1
ADAPTADOR JIC X NPT 7/8 X 1/2,1000,unidad,1
MANGUERA 3/4 R1 X 620MM HG X HG 1.1/16 JIC,1000,unidad,1
"ADAPTADOR JIC X NPT 1,1/16 X 3/4",1000,unidad,1
"RACORD FORJADO DE ACERO 3""",1000,unidad,1
"TETON REPARACION TENSOR 3/4 - 7/8 - 1"" ESP. 9MM",1000,unidad,1
TUERCA AUTOF. 7/8 SAE. 2996,1000,unidad,1
ENGRANAJE DOBLE 52 X 18 DIENTES JOST,1000,unidad,1
EJE TREN RETR UNION PTA/CUADR DER. JOST AL00201J00,1000,unidad,1
CORONA CONICA 26 DIENTES JOST NUEVA 100000128594,1000,unidad,1
PIÑON TREN RETR. JOST18 DIENTES MOD. NUEVO,1000,unidad,1
ESPINA ELASTICA 8 X 40 E0108 065,1000,unidad,1
ESPINA ELASTICA 6 X 55 E0106 075,1000,unidad,1
BUJE PLASTICO CAJA TRANS. JOST AD00405J00 11,1000,unidad,1
BUJE PLASTICO EJE TRANS. JOST AD00404J00 11,1000,unidad,1
BUJE PLASTICO JOST AD0040GJ00 5 CONDUCIDA,1000,unidad,1
BUJE PLASTICO JOST AD00402J00 20 CONDUCIDA,1000,unidad,1
BUJE PLASTICO JOST AD00403J00 8,1000,unidad,1
GUARDAFANGO BAJO PARAGOLPE LISO 7000 2.35 MTS X 30,1000,unidad,1
PERNO DE LANZA DE 38 X 120 MM C/TCA MONT.,1000,unidad,1
ZAPATO OZONO C/P FLOR NEGRO N°38/47,1000,unidad,1
ABR.SUPER PRESION 28-34,1000,unidad,1
"TRICOFLEX RA RESISTENTE A LA ABRASION ASP/EXP 1"" 1/4",1000,unidad,1
"TRICOFLEX RA RESISTENTE A LA ABRASION ASP/EXP 1""",1000,unidad,1
ALQUILER DE TUBO DEL 27-04 AL 31-05 (21%),1000,unidad,1
"CAÑO DE 3"" A DIAMETRO 1950.2150.2050",1000,unidad,1
TARJETA RELIOJ MENSUAL,1000,unidad,1
"BOMBA DE VACIO, MODELO S-90. MARCA REGISTRADA MINYMASPRES. N° FR SERIE: 9507",1000,unidad,1
POR CERTIFICADO ANUAL DEL COMPRESOR DE AIRE DE LA PLANTA,1000,unidad,1
MANO DE OBRA EMBUJADO BALANCION,1000,unidad,1
(004443) BUL HEXAGONAL A8.8 Z PD 1/2 13H 63,1000,unidad,1
(012269) TUER AUTOF AL ACER Z PD 1/2 13H,1000,unidad,1
(005664) TUER HEXAGONAL HIER Z AZ 1/2 13H,1000,unidad,1
P.PROTECTOR DELAN PLAS 32/1 DERECHA,1000,unidad,1
P.PROTECTOR DELAN PLAS 32/1 IZQUIERDA,1000,unidad,1
GLASURIT COLOR 22 X 4 LT,1000,unidad,1
GLASURIT CAT.RAP.929-91 X 2.5,1000,unidad,1
POLIC ALV CRIST 1.18 X 6MT 4MM,1000,unidad,1
"GANCHOS ""J"" 80 MM X 100 UNID.",1000,unidad,1
AL00340J01-ST JUEGO PATAS DE APOYO B200 - STANDART JOST,1000,unidad,1
EXP394 PAQUETE ELASTICO MONTENEGRO TRASERO ALT NAC,1000,unidad,1
POLEA FUND. 4 B 240,1000,unidad,1
POLEA FUND. 4 B 140,1000,unidad,1
"CH CINC SINUS C25 4,5 MT",1000,unidad,1
RUEDA PORTON 100 MM.,1000,unidad,1
"TEFLON ALTA DENSIDAD 3/4 X 10 MTS ""LATYN """,1000,unidad,1
TORNILLO C/ TARUGO 6,1000,unidad,1
TORNILLO C/ TARUGO 8,1000,unidad,1
MANOMETRO VACUOMETRO DIAM 100 X ROSCA 1/2 SALIDA INFE,1000,unidad,1
TF FS 6306-A NEUM.MULT. C/PL.,1000,unidad,1
TAPA 3 MODULOS BLANCA EXULTT,1000,unidad,1
TAPON EXULTT,1000,unidad,1
PORTALAMPARA DE BAQUELITA ROSCA EDISON,1000,unidad,1
ADAPTADOR DE EDISON A GOLIAT,1000,unidad,1
"ALBAMIX 4570100 ESM PU ""NARANJA 03"" A X4LTS",1000,unidad,1
CINTA PAPEL MULTIUSO 903 18X40,1000,unidad,1
"DISCOPARADESBASTESECUREXTRA178X7 , 0X",1000,unidad,1
HOJA AL AGUA WA70 120,1000,unidad,1
CAJA X 12 CINTA EVEL RETROBLOCK 5 MTS,1000,unidad,1
22209 CKC3W33,1000,unidad,1
"22Ø100 R 1/2""NPT 2,5 BAR/PSI",1000,unidad,1
"KGR DE ARANDELA PLANA H° GALV.AZUL 5/16""",1000,unidad,1
"BULON PULIDO UNC GALV.AZUL 5/16X3/4""",1000,unidad,1
"TUERCA AUTOFRENANTE 5/6""",1000,unidad,1
1/2 NIPLE 1/2 AISI 304,1000,unidad,1
TEE ROSC 3/4 AISI 304,1000,unidad,1
CODOS ROSC 3/4 AISI 304,1000,unidad,1
TAPON 3/4 AISI 304,1000,unidad,1
NIPLES 3/4 X 150 AISI 304,1000,unidad,1
"ENTRE ROSCA 1"" AISI 304",1000,unidad,1
"NIPLE 1"" X 100 AISI 304",1000,unidad,1
"CUPLAS 2"" AISI 304",1000,unidad,1
"TAPON 2"" AISI 304",1000,unidad,1
"NIPLE 2"" X 100 AISI 304",1000,unidad,1
AL00284J01 JUEGO PATAS DE APOYO B200 - TELESCOPICA JOST,1000,unidad,1
EXP394 PAQUETE ELASTICO MONTENEGRO TRASERO ASICHA,1000,unidad,1
TAPON (ACERO) 1/4 NPT,1000,unidad,1
CUPLA (ACERO) 1/4 (X10),1000,unidad,1
BUJE DE REDUCCION (ACERO) M-H 3/4 X 1/4,1000,unidad,1
BUJE DE REDUCCION (ACERO) M-H 1/4 X 1/8,1000,unidad,1
CODO 90º PLASTICO 6 X 1/4,1000,unidad,1
CODO 90º PLASTICO 8 X 1/4,1000,unidad,1
5/2 SIMPLE SOLENO C/CHOQUE 1/4 BSP 24 V.,1000,unidad,1
